id,player,piece,start,result,Site,survived,victory,survived_or_victory,match_name,killed_by
B-R-a,black,Rook,g2,black wins,https://lichess.org/cu2eud5o,True,False,True,4lawsdotcom (white) vs Verminard (black),
W-K,white,King,g1,black wins,https://lichess.org/cu2eud5o,True,True,True,4lawsdotcom (white) vs Verminard (black),
B-N-g,black,Knight,h2,black wins,https://lichess.org/cu2eud5o,True,False,True,4lawsdotcom (white) vs Verminard (black),
W-P-c,white,Pawn,c3,black wins,https://lichess.org/cu2eud5o,True,True,True,4lawsdotcom (white) vs Verminard (black),
W-P-b,white,Pawn,c5,black wins,https://lichess.org/cu2eud5o,True,True,True,4lawsdotcom (white) vs Verminard (black),
B-N-b,black,Knight,f4,black wins,https://lichess.org/cu2eud5o,True,False,True,4lawsdotcom (white) vs Verminard (black),
W-N-b,white,Knight,,black wins,https://lichess.org/cu2eud5o,False,True,False,4lawsdotcom (white) vs Verminard (black),B-R-a
W-P-f,white,Pawn,,black wins,https://lichess.org/cu2eud5o,False,True,False,4lawsdotcom (white) vs Verminard (black),B-N-g
W-P-a,white,Pawn,a3,black wins,https://lichess.org/cu2eud5o,True,True,True,4lawsdotcom (white) vs Verminard (black),
B-R-h,black,Rook,e8,black wins,https://lichess.org/cu2eud5o,True,False,True,4lawsdotcom (white) vs Verminard (black),
W-B-c,white,Bishop,,black wins,https://lichess.org/cu2eud5o,False,True,False,4lawsdotcom (white) vs Verminard (black),B-N-b
B-B-f,black,Bishop,,black wins,https://lichess.org/cu2eud5o,False,False,False,4lawsdotcom (white) vs Verminard (black),W-P-b
B-K,black,King,c8,black wins,https://lichess.org/cu2eud5o,True,False,False,4lawsdotcom (white) vs Verminard (black),
W-B-f,white,Bishop,a4,black wins,https://lichess.org/cu2eud5o,True,True,True,4lawsdotcom (white) vs Verminard (black),
B-P-c,black,Pawn,c6,black wins,https://lichess.org/cu2eud5o,True,False,True,4lawsdotcom (white) vs Verminard (black),
W-P-g,white,Pawn,,black wins,https://lichess.org/cu2eud5o,False,True,False,4lawsdotcom (white) vs Verminard (black),B-N-b
B-P-e,black,Pawn,,black wins,https://lichess.org/cu2eud5o,False,False,False,4lawsdotcom (white) vs Verminard (black),W-P-g
B-B-c,black,Bishop,,black wins,https://lichess.org/cu2eud5o,False,False,False,4lawsdotcom (white) vs Verminard (black),W-P-g
W-N-g,white,Knight,,black wins,https://lichess.org/cu2eud5o,False,True,False,4lawsdotcom (white) vs Verminard (black),B-B-c
B-P-h,black,Pawn,h6,black wins,https://lichess.org/cu2eud5o,True,False,True,4lawsdotcom (white) vs Verminard (black),
B-Q,black,Queen,,black wins,https://lichess.org/cu2eud5o,False,False,False,4lawsdotcom (white) vs Verminard (black),W-K
W-P-d,white,Pawn,,black wins,https://lichess.org/cu2eud5o,False,True,False,4lawsdotcom (white) vs Verminard (black),B-N-g
B-P-d,black,Pawn,,black wins,https://lichess.org/cu2eud5o,False,False,False,4lawsdotcom (white) vs Verminard (black),W-P-d
W-P-e,white,Pawn,,black wins,https://lichess.org/cu2eud5o,False,True,False,4lawsdotcom (white) vs Verminard (black),B-P-d
W-R-a,white,Rook,a1,black wins,https://lichess.org/cu2eud5o,True,True,True,4lawsdotcom (white) vs Verminard (black),
W-Q,white,Queen,,black wins,https://lichess.org/cu2eud5o,False,True,False,4lawsdotcom (white) vs Verminard (black),B-Q
W-R-h,white,Rook,h1,black wins,https://lichess.org/cu2eud5o,True,True,True,4lawsdotcom (white) vs Verminard (black),
W-P-h,white,Pawn,,black wins,https://lichess.org/cu2eud5o,False,True,False,4lawsdotcom (white) vs Verminard (black),B-N-g
B-P-a,black,Pawn,a7,black wins,https://lichess.org/cu2eud5o,True,False,True,4lawsdotcom (white) vs Verminard (black),
B-P-b,black,Pawn,b7,black wins,https://lichess.org/cu2eud5o,True,False,True,4lawsdotcom (white) vs Verminard (black),
B-P-f,black,Pawn,f7,black wins,https://lichess.org/cu2eud5o,True,False,True,4lawsdotcom (white) vs Verminard (black),
B-P-g,black,Pawn,g7,black wins,https://lichess.org/cu2eud5o,True,False,True,4lawsdotcom (white) vs Verminard (black),
