Site,SAN,LAN,BlackElo,WhiteElo,Opening,player,from_and_piece,to_and_result,from,to,piece_moved,action,index
https://lichess.org/6x5nq6qd,e4,e2-e4,1487,1477,Owen Defense,white,e2,e4,e2,e4,Pawn,move,0
https://lichess.org/6x5nq6qd,b6,b7-b6,1487,1477,Owen Defense,black,b7,b6,b7,b6,Pawn,move,1
https://lichess.org/6x5nq6qd,Bc4,Bf1-c4,1487,1477,Owen Defense,white,Bf1,c4,f1,c4,Bishop,move,2
https://lichess.org/6x5nq6qd,Bb7,Bc8-b7,1487,1477,Owen Defense,black,Bc8,b7,c8,b7,Bishop,move,3
https://lichess.org/6x5nq6qd,d3,d2-d3,1487,1477,Owen Defense,white,d2,d3,d2,d3,Pawn,move,4
https://lichess.org/6x5nq6qd,Nh6,Ng8-h6,1487,1477,Owen Defense,black,Ng8,h6,g8,h6,Knight,move,5
https://lichess.org/6x5nq6qd,Bxh6,Bc1xh6,1487,1477,Owen Defense,white,Bc1,h6,c1,h6,Bishop,kill,6
https://lichess.org/6x5nq6qd,gxh6,g7xh6,1487,1477,Owen Defense,black,g7,h6,g7,h6,Pawn,kill,7
https://lichess.org/6x5nq6qd,Qf3,Qd1-f3,1487,1477,Owen Defense,white,Qd1,f3,d1,f3,Queen,move,8
https://lichess.org/6x5nq6qd,e6,e7-e6,1487,1477,Owen Defense,black,e7,e6,e7,e6,Pawn,move,9
https://lichess.org/6x5nq6qd,Nh3,Ng1-h3,1487,1477,Owen Defense,white,Ng1,h3,g1,h3,Knight,move,10
https://lichess.org/6x5nq6qd,Bg7,Bf8-g7,1487,1477,Owen Defense,black,Bf8,g7,f8,g7,Bishop,move,11
https://lichess.org/6x5nq6qd,c3,c2-c3,1487,1477,Owen Defense,white,c2,c3,c2,c3,Pawn,move,12
https://lichess.org/6x5nq6qd,Nc6,Nb8-c6,1487,1477,Owen Defense,black,Nb8,c6,b8,c6,Knight,move,13
https://lichess.org/6x5nq6qd,Qg3,Qf3-g3,1487,1477,Owen Defense,white,Qf3,g3,f3,g3,Queen,move,14
https://lichess.org/6x5nq6qd,Rg8,Rh8-g8,1487,1477,Owen Defense,black,Rh8,g8,h8,g8,Rook,move,15
https://lichess.org/6x5nq6qd,Qf3,Qg3-f3,1487,1477,Owen Defense,white,Qg3,f3,g3,f3,Queen,move,16
https://lichess.org/6x5nq6qd,Ne5,Nc6-e5,1487,1477,Owen Defense,black,Nc6,e5,c6,e5,Knight,move,17
https://lichess.org/6x5nq6qd,Qe3,Qf3-e3,1487,1477,Owen Defense,white,Qf3,e3,f3,e3,Queen,move,18
https://lichess.org/6x5nq6qd,Nxc4,Ne5xc4,1487,1477,Owen Defense,black,Ne5,c4,e5,c4,Knight,kill,19
https://lichess.org/6x5nq6qd,dxc4,d3xc4,1487,1477,Owen Defense,white,d3,c4,d3,c4,Pawn,kill,20
https://lichess.org/6x5nq6qd,Qe7,Qd8-e7,1487,1477,Owen Defense,black,Qd8,e7,d8,e7,Queen,move,21
https://lichess.org/6x5nq6qd,O-O,O-O,1487,1477,Owen Defense,white,O,O,O,O,Unknown,move,22
https://lichess.org/6x5nq6qd,Qc5,Qe7-c5,1487,1477,Owen Defense,black,Qe7,c5,e7,c5,Queen,move,23
https://lichess.org/6x5nq6qd,Qxc5,Qe3xc5,1487,1477,Owen Defense,white,Qe3,c5,e3,c5,Queen,kill,24
https://lichess.org/6x5nq6qd,b5,b6-b5,1487,1477,Owen Defense,black,b6,b5,b6,b5,Pawn,move,25
https://lichess.org/6x5nq6qd,Qxb5,Qc5xb5,1487,1477,Owen Defense,white,Qc5,b5,c5,b5,Queen,kill,26
https://lichess.org/6x5nq6qd,Bxe4,Bb7xe4,1487,1477,Owen Defense,black,Bb7,e4,b7,e4,Bishop,kill,27
https://lichess.org/6x5nq6qd,Nd2,Nb1-d2,1487,1477,Owen Defense,white,Nb1,d2,b1,d2,Knight,move,28
https://lichess.org/6x5nq6qd,Bc6,Be4-c6,1487,1477,Owen Defense,black,Be4,c6,e4,c6,Bishop,move,29
https://lichess.org/6x5nq6qd,Qb3,Qb5-b3,1487,1477,Owen Defense,white,Qb5,b3,b5,b3,Queen,move,30
https://lichess.org/6x5nq6qd,Bxc3,Bg7xc3,1487,1477,Owen Defense,black,Bg7,c3,g7,c3,Bishop,kill,31
https://lichess.org/6x5nq6qd,g3,g2-g3,1487,1477,Owen Defense,white,g2,g3,g2,g3,Pawn,move,32
https://lichess.org/6x5nq6qd,Bxd2,Bc3xd2,1487,1477,Owen Defense,black,Bc3,d2,c3,d2,Bishop,kill,33
https://lichess.org/6x5nq6qd,Rad1,Ra1-d1,1487,1477,Owen Defense,white,Ra1,d1,a1,d1,Rook,move,34
https://lichess.org/6x5nq6qd,Bg5,Bd2-g5,1487,1477,Owen Defense,black,Bd2,g5,d2,g5,Bishop,move,35
https://lichess.org/6x5nq6qd,Nxg5,Nh3xg5,1487,1477,Owen Defense,white,Nh3,g5,h3,g5,Knight,kill,36
https://lichess.org/6x5nq6qd,hxg5,h6xg5,1487,1477,Owen Defense,black,h6,g5,h6,g5,Pawn,kill,37
https://lichess.org/6x5nq6qd,Qd3,Qb3-d3,1487,1477,Owen Defense,white,Qb3,d3,b3,d3,Queen,move,38
https://lichess.org/6x5nq6qd,h6,h7-h6,1487,1477,Owen Defense,black,h7,h6,h7,h6,Pawn,move,39
https://lichess.org/6x5nq6qd,b4,b2-b4,1487,1477,Owen Defense,white,b2,b4,b2,b4,Pawn,move,40
https://lichess.org/6x5nq6qd,Ba4,Bc6-a4,1487,1477,Owen Defense,black,Bc6,a4,c6,a4,Bishop,move,41
https://lichess.org/6x5nq6qd,Rd2,Rd1-d2,1487,1477,Owen Defense,white,Rd1,d2,d1,d2,Rook,move,42
https://lichess.org/6x5nq6qd,Rb8,Ra8-b8,1487,1477,Owen Defense,black,Ra8,b8,a8,b8,Rook,move,43
https://lichess.org/6x5nq6qd,b5,b4-b5,1487,1477,Owen Defense,white,b4,b5,b4,b5,Pawn,move,44
https://lichess.org/6x5nq6qd,d6,d7-d6,1487,1477,Owen Defense,black,d7,d6,d7,d6,Pawn,move,45
https://lichess.org/6x5nq6qd,Qa3,Qd3-a3,1487,1477,Owen Defense,white,Qd3,a3,d3,a3,Queen,move,46
https://lichess.org/6x5nq6qd,Bxb5,Ba4xb5,1487,1477,Owen Defense,black,Ba4,b5,a4,b5,Bishop,kill,47
https://lichess.org/6x5nq6qd,cxb5,c4xb5,1487,1477,Owen Defense,white,c4,b5,c4,b5,Pawn,kill,48
https://lichess.org/6x5nq6qd,Rxb5,Rb8xb5,1487,1477,Owen Defense,black,Rb8,b5,b8,b5,Rook,kill,49
https://lichess.org/6x5nq6qd,Qxa7,Qa3xa7,1487,1477,Owen Defense,white,Qa3,a7,a3,a7,Queen,kill,50
https://lichess.org/6x5nq6qd,Rc5,Rb5-c5,1487,1477,Owen Defense,black,Rb5,c5,b5,c5,Rook,move,51
https://lichess.org/6x5nq6qd,Qa8+,Qa7-a8+,1487,1477,Owen Defense,white,Qa7,a8+,a7,a8,Queen,check,52
https://lichess.org/6x5nq6qd,Ke7,Ke8-e7,1487,1477,Owen Defense,black,Ke8,e7,e8,e7,King,move,53
https://lichess.org/6x5nq6qd,Qxg8,Qa8xg8,1487,1477,Owen Defense,white,Qa8,g8,a8,g8,Queen,kill,54
https://lichess.org/6x5nq6qd,e5,e6-e5,1487,1477,Owen Defense,black,e6,e5,e6,e5,Pawn,move,55
https://lichess.org/6x5nq6qd,Qh8,Qg8-h8,1487,1477,Owen Defense,white,Qg8,h8,g8,h8,Queen,move,56
https://lichess.org/6x5nq6qd,d5,d6-d5,1487,1477,Owen Defense,black,d6,d5,d6,d5,Pawn,move,57
https://lichess.org/6x5nq6qd,Qxe5+,Qh8xe5+,1487,1477,Owen Defense,white,Qh8,e5+,h8,e5,Queen,kill,58
https://lichess.org/6x5nq6qd,Kd7,Ke7-d7,1487,1477,Owen Defense,black,Ke7,d7,e7,d7,King,move,59
https://lichess.org/6x5nq6qd,Rxd5+,Rd2xd5+,1487,1477,Owen Defense,white,Rd2,d5+,d2,d5,Rook,kill,60
https://lichess.org/6x5nq6qd,Rxd5,Rc5xd5,1487,1477,Owen Defense,black,Rc5,d5,c5,d5,Rook,kill,61
https://lichess.org/6x5nq6qd,Qxd5+,Qe5xd5+,1487,1477,Owen Defense,white,Qe5,d5+,e5,d5,Queen,kill,62
