id,player,piece,start
W-R-a,white,Rook,a1
W-N-b,white,Knight,b1
W-B-c,white,Bishop,c1
W-Q,white,Queen,d1
W-K,white,King,e1
W-B-f,white,Bishop,f1
W-N-g,white,Knight,g1
W-R-h,white,Rook,h1
W-P-a,white,Pawn,a2
W-P-b,white,Pawn,b2
W-P-c,white,Pawn,c2
W-P-d,white,Pawn,d2
W-P-e,white,Pawn,e2
W-P-f,white,Pawn,f2
W-P-g,white,Pawn,g2
W-P-h,white,Pawn,h2
B-P-a,black,Pawn,a7
B-P-b,black,Pawn,b7
B-P-c,black,Pawn,c7
B-P-d,black,Pawn,d7
B-P-e,black,Pawn,e7
B-P-f,black,Pawn,f7
B-P-g,black,Pawn,g7
B-P-h,black,Pawn,h7
B-R-a,black,Rook,a8
B-N-b,black,Knight,b8
B-B-c,black,Bishop,c8
B-Q,black,Queen,d8
B-K,black,King,e8
B-B-f,black,Bishop,f8
B-N-g,black,Knight,g8
B-R-h,black,Rook,h8
